ID,Year,Title,Authors,Venue,Citations,DOI,OA_URL,PDF_URL
OA_KW4_017,2023,DICE-Net: A Novel Convolution-Transformer Architecture for Alzheimer Detection in EEG Signals,"Ανδρέας Μιλτιάδους, Emmanouil Gionanidis, Katerina D. Tzimourta, Νικόλαος Γιαννακέας, Alexandros T. Tzallas",IEEE Access,196,https://doi.org/10.1109/access.2023.3294618,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10179900.pdf,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10179900.pdf
OA_KW4_018,2025,A review on EEG-based multimodal learning for emotion recognition,"Rajasekhar Pillalamarri, S. Udhayakumar",Artificial Intelligence Review,117,https://doi.org/10.1007/s10462-025-11126-9,https://link.springer.com/content/pdf/10.1007/s10462-025-11126-9.pdf,https://link.springer.com/content/pdf/10.1007/s10462-025-11126-9.pdf
OA_KW4_019,2023,Review of Studies on Emotion Recognition and Judgment Based on Physiological Signals,"Wenqian Lin, Chao Li",Applied Sciences,116,https://doi.org/10.3390/app13042573,https://www.mdpi.com/2076-3417/13/4/2573/pdf?version=1677048608,https://www.mdpi.com/2076-3417/13/4/2573/pdf?version=1677048608
OA_KW4_020,2023,State-of-the-Art of Stress Prediction from Heart Rate Variability Using Artificial Intelligence,"Yeaminul Haque, Rahat Shahriar Zawad, Chowdhury Saleh Ahmed Rony, Hasan Al Banna, Tapotosh Ghosh",Cognitive Computation,107,https://doi.org/10.1007/s12559-023-10200-0,https://link.springer.com/content/pdf/10.1007/s12559-023-10200-0.pdf,https://link.springer.com/content/pdf/10.1007/s12559-023-10200-0.pdf
OA_KW4_021,2023,Transformer-Based Self-Supervised Multimodal Representation Learning for Wearable Emotion Recognition,"Yujin Wu, Mohamed Daoudi, Ali Amad",IEEE Transactions on Affective Computing,106,https://doi.org/10.1109/taffc.2023.3263907,https://hal.science/hal-04051433/document,
OA_KW4_022,2024,Review of Stress Detection Methods Using Wearable Sensors,"Georgios V. Taskasaplidis, Dimitris A. Fotiadis, Panagiotis D. Bamidis",IEEE Access,105,https://doi.org/10.1109/access.2024.3373010,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10458924.pdf,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10458924.pdf
OA_KW4_023,2023,Stress and Workload Assessment in Aviation—A Narrative Review,"Giulia Masi, Gianluca Amprimo, Claudia Ferraris, Lorenzo Priano",Sensors,97,https://doi.org/10.3390/s23073556,https://www.mdpi.com/1424-8220/23/7/3556/pdf?version=1680511790,https://www.mdpi.com/1424-8220/23/7/3556/pdf?version=1680511790
OA_KW4_024,2023,An interpretable machine learning approach to multimodal stress detection in a simulated office environment,"Mara Naegelin, Raphael P. Weibel, Jasmine I. Kerr, Victor R. Schinazi, Roberto La Marca",Journal of Biomedical Informatics,81,https://doi.org/10.1016/j.jbi.2023.104299,https://ars.els-cdn.com/content/image/1-s2.0-S1532046423000205-ga1_lrg.jpg,https://ars.els-cdn.com/content/image/1-s2.0-S1532046423000205-ga1_lrg.jpg
OA_KW4_025,2023,Multimodal Hierarchical CNN Feature Fusion for Stress Detection,"Radhika Kuttala, Ramanathan Subramanian, O.V. Ramana Murthy",IEEE Access,79,https://doi.org/10.1109/access.2023.3237545,https://ieeexplore.ieee.org/ielx7/6287639/10005208/10018374.pdf,https://ieeexplore.ieee.org/ielx7/6287639/10005208/10018374.pdf
OA_KW4_026,2024,Machine learning for human emotion recognition: a comprehensive review,"Eman M. G. Younis, Someya Mohsen, Essam H. Houssein, Osman Ali Sadek Ibrahim",Neural Computing and Applications,75,https://doi.org/10.1007/s00521-024-09426-2,https://link.springer.com/content/pdf/10.1007/s00521-024-09426-2.pdf,https://link.springer.com/content/pdf/10.1007/s00521-024-09426-2.pdf
