ID,Year,Title,Authors,Venue,Citations,DOI,OA_URL,PDF_URL
OA_KW1_001,2024,Leveraging AI in E-Learning: Personalized Learning and Adaptive Assessment through Cognitive Neuropsychology—A Systematic Analysis,"Constantinos Halkiopoulos, Evgenia Gkintoni",Electronics,313,https://doi.org/10.3390/electronics13183762,https://www.mdpi.com/2079-9292/13/18/3762/pdf?version=1726988994,https://www.mdpi.com/2079-9292/13/18/3762/pdf?version=1726988994
OA_KW1_002,2025,Challenging Cognitive Load Theory: The Role of Educational Neuroscience and Artificial Intelligence in Redefining Learning Efficacy,"Evgenia Gkintoni, Hera Antonopoulou, Andrew Sortwell, Constantinos Halkiopoulos",Brain Sciences,284,https://doi.org/10.3390/brainsci15020203,https://www.mdpi.com/2076-3425/15/2/203/pdf?version=1739623250,https://www.mdpi.com/2076-3425/15/2/203/pdf?version=1739623250
OA_KW1_003,2024,Integrating artificial intelligence to assess emotions in learning environments: a systematic literature review,"Angel Olider Rojas Vistorte, Ángel Deroncele-Acosta, Juan Luis Martín Ayala, Ángel Barrasa, Caridad López-Granero",Frontiers in Psychology,271,https://doi.org/10.3389/fpsyg.2024.1387089,https://doi.org/10.3389/fpsyg.2024.1387089,
OA_KW1_004,2023,Gut Microbiome–Brain Alliance: A Landscape View into Mental and Gastrointestinal Health and Disorders,"Janet M. Sasso, Ramy M. Ammar, Rumiana Tenchov, S. A. Lemmel, O Kelber",ACS Chemical Neuroscience,207,https://doi.org/10.1021/acschemneuro.3c00127,https://doi.org/10.1021/acschemneuro.3c00127,
OA_KW1_005,2023,LGGNet: Learning From Local-Global-Graph Representations for Brain–Computer Interface,"Yi Ding, Neethu Robinson, Chengxuan Tong, Qiuhao Zeng, Cuntai Guan",IEEE Transactions on Neural Networks and Learning Systems,194,https://doi.org/10.1109/tnnls.2023.3236635,https://ieeexplore.ieee.org/ielx7/5962385/6104215/10025569.pdf,https://ieeexplore.ieee.org/ielx7/5962385/6104215/10025569.pdf
OA_KW1_006,2023,Recent advancements in multimodal human–robot interaction,"Hang Su, Wen Qi, Jiahao Chen, Chenguang Yang, Juan Sandoval",Frontiers in Neurorobotics,180,https://doi.org/10.3389/fnbot.2023.1084000,https://www.frontiersin.org/articles/10.3389/fnbot.2023.1084000/pdf,https://www.frontiersin.org/articles/10.3389/fnbot.2023.1084000/pdf
OA_KW1_007,2024,CTNet: a convolutional transformer network for EEG-based motor imagery classification,"Wei Zhao, Xiaolu Jiang, Baocan Zhang, Shixiao Xiao, Sujun Weng",Scientific Reports,172,https://doi.org/10.1038/s41598-024-71118-7,https://www.nature.com/articles/s41598-024-71118-7.pdf,https://www.nature.com/articles/s41598-024-71118-7.pdf
OA_KW1_008,2024,Brain–computer interfaces: the innovative key to unlocking neurological conditions,"Hongyu Zhang, Le Jiao, Songxiang Yang, Haopeng Li, Xinzhan Jiang",International Journal of Surgery,167,https://doi.org/10.1097/js9.0000000000002022,https://doi.org/10.1097/js9.0000000000002022,
OA_KW1_009,2023,Generalizable machine learning for stress monitoring from wearable devices: A systematic literature review,"Gideon Vos, Kelly Trinh, Zóltan Sarnyai, Mostafa Rahimi Azghadi",International Journal of Medical Informatics,160,https://doi.org/10.1016/j.ijmedinf.2023.105026,https://ars.els-cdn.com/content/image/1-s2.0-S1386505623000436-gr001_lrg.jpg,https://ars.els-cdn.com/content/image/1-s2.0-S1386505623000436-gr001_lrg.jpg
