ID,Year,Title,Authors,Venue,Citations,DOI,OA_URL,PDF_URL
OA_KW3_001,2022,EEG Based Emotion Recognition: A Tutorial and Review,"Xiang Li, Yazhou Zhang, Prayag Tiwari, Dawei Song",ACM Computing Surveys,492,https://doi.org/10.1145/3524499,https://arxiv.org/pdf/2203.11279,https://arxiv.org/pdf/2203.11279.pdf
OA_KW3_002,2019,Current Directions in the Auricular Vagus Nerve Stimulation I – A Physiological Perspective,"Eugenijus Kaniušas, Stefan Kampusch, Marc Tittgemeyer, Fivos Panetsos, Raquel Fernandez Gines",Frontiers in Neuroscience,330,https://doi.org/10.3389/fnins.2019.00854,https://www.frontiersin.org/articles/10.3389/fnins.2019.00854/pdf,https://www.frontiersin.org/articles/10.3389/fnins.2019.00854/pdf
OA_KW3_003,2024,Pathology of pain and its implications for therapeutic interventions,"Bo Cao, Qixuan Xu, Yajiao Shi, Ruiyang Zhao, Hanghang Li",Signal Transduction and Targeted Therapy,186,https://doi.org/10.1038/s41392-024-01845-w,https://www.nature.com/articles/s41392-024-01845-w.pdf,https://www.nature.com/articles/s41392-024-01845-w.pdf
OA_KW3_004,2023,Recent advancements in multimodal human–robot interaction,"Hang Su, Wen Qi, Jiahao Chen, Chenguang Yang, Juan Sandoval",Frontiers in Neurorobotics,180,https://doi.org/10.3389/fnbot.2023.1084000,https://www.frontiersin.org/articles/10.3389/fnbot.2023.1084000/pdf,https://www.frontiersin.org/articles/10.3389/fnbot.2023.1084000/pdf
OA_KW3_005,2024,CTNet: a convolutional transformer network for EEG-based motor imagery classification,"Wei Zhao, Xiaolu Jiang, Baocan Zhang, Shixiao Xiao, Sujun Weng",Scientific Reports,172,https://doi.org/10.1038/s41598-024-71118-7,https://www.nature.com/articles/s41598-024-71118-7.pdf,https://www.nature.com/articles/s41598-024-71118-7.pdf
OA_KW3_006,2022,Inhalation Aromatherapy via Brain-Targeted Nasal Delivery: Natural Volatiles or Essential Oils on Mood Disorders,"Jieqiong Cui, Meng Li, Yuanyuan Wei, Huayan Li",Frontiers in Pharmacology,166,https://doi.org/10.3389/fphar.2022.860043,https://www.frontiersin.org/articles/10.3389/fphar.2022.860043/pdf,https://www.frontiersin.org/articles/10.3389/fphar.2022.860043/pdf
OA_KW3_007,2024,Role of machine learning and deep learning techniques in EEG-based BCI emotion recognition system: a review,"Priyadarsini Samal, Mohammad Farukh Hashmi",Artificial Intelligence Review,147,https://doi.org/10.1007/s10462-023-10690-2,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf
OA_KW3_008,2023,Deep learning-based EEG emotion recognition: Current trends and future perspectives,"Xiaohu Wang, Yongmei Ren, Ze Luo, He Geng Wei",Frontiers in Psychology,133,https://doi.org/10.3389/fpsyg.2023.1126994,https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1126994/pdf,https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1126994/pdf
OA_KW3_009,2023,Generative adversarial networks in EEG analysis: an overview,"Ahmed G. Habashi, Ahmed M. Azab, Seif Eldawlatly, Gamal M. Aly",Journal of NeuroEngineering and Rehabilitation,124,https://doi.org/10.1186/s12984-023-01169-w,https://jneuroengrehab.biomedcentral.com/counter/pdf/10.1186/s12984-023-01169-w,https://jneuroengrehab.biomedcentral.com/counter/pdf/10.1186/s12984-023-01169-w
OA_KW3_010,2023,"Multimodal Emotion Recognition Based on Facial Expressions, Speech, and EEG","Jiahui Pan, Weijie Fang, Zhihang Zhang, Bingzhi Chen, Zheng Zhang",IEEE Open Journal of Engineering in Medicine and Biology,119,https://doi.org/10.1109/ojemb.2023.3240280,https://doi.org/10.1109/ojemb.2023.3240280,
