ID,Year,Title,Authors,Venue,Citations,DOI,OA_URL,PDF_URL
OA_KW2_001,2023,Emotion recognition and artificial intelligence: A systematic review (2014–2023) and research recommendations,"Smith K. Khare, Victoria Blanes‐Vidal, Esmaeil S. Nadimi, U. Rajendra Acharya",Information Fusion,462,https://doi.org/10.1016/j.inffus.2023.102019,https://doi.org/10.1016/j.inffus.2023.102019,
OA_KW2_002,2023,LGGNet: Learning From Local-Global-Graph Representations for Brain–Computer Interface,"Yi Ding, Neethu Robinson, Chengxuan Tong, Qiuhao Zeng, Cuntai Guan",IEEE Transactions on Neural Networks and Learning Systems,194,https://doi.org/10.1109/tnnls.2023.3236635,https://ieeexplore.ieee.org/ielx7/5962385/6104215/10025569.pdf,https://ieeexplore.ieee.org/ielx7/5962385/6104215/10025569.pdf
OA_KW2_003,2024,Role of machine learning and deep learning techniques in EEG-based BCI emotion recognition system: a review,"Priyadarsini Samal, Mohammad Farukh Hashmi",Artificial Intelligence Review,147,https://doi.org/10.1007/s10462-023-10690-2,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf
OA_KW2_004,2023,"Deep Learning in EEG-Based BCIs: A Comprehensive Review of Transformer Models, Advantages, Challenges, and Applications","Berdakh Abibullaev, Aigerim Keutayeva, Amin Zollanvari",IEEE Access,136,https://doi.org/10.1109/access.2023.3329678,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10305163.pdf,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10305163.pdf
OA_KW2_005,2023,Deep learning-based EEG emotion recognition: Current trends and future perspectives,"Xiaohu Wang, Yongmei Ren, Ze Luo, Wei He, Jun Hong",Frontiers in Psychology,133,https://doi.org/10.3389/fpsyg.2023.1126994,https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1126994/pdf,https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1126994/pdf
OA_KW2_006,2023,"Emotion Recognition Using Different Sensors, Emotion Models, Methods and Datasets: A Comprehensive Review","Yujian Cai, Xingguang Li, Jinsong Li",Sensors,133,https://doi.org/10.3390/s23052455,https://www.mdpi.com/1424-8220/23/5/2455/pdf?version=1677135783,https://www.mdpi.com/1424-8220/23/5/2455/pdf?version=1677135783
OA_KW2_007,2023,"Affective Computing: Recent Advances, Challenges, and Future Trends","Guanxiong Pei, Haiying Li, Yandi Lu, Yanlei Wang, Shizhen Hua",Intelligent Computing,132,https://doi.org/10.34133/icomputing.0076,https://spj.science.org/doi/pdf/10.34133/icomputing.0076?download=true,https://spj.science.org/doi/pdf/10.34133/icomputing.0076?download=true
OA_KW2_008,2023,Generative adversarial networks in EEG analysis: an overview,"Ahmed G. Habashi, Ahmed M. Azab, Seif Eldawlatly, Gamal M. Aly",Journal of NeuroEngineering and Rehabilitation,124,https://doi.org/10.1186/s12984-023-01169-w,https://jneuroengrehab.biomedcentral.com/counter/pdf/10.1186/s12984-023-01169-w,https://jneuroengrehab.biomedcentral.com/counter/pdf/10.1186/s12984-023-01169-w
OA_KW2_009,2023,Multimodal Emotion Recognition From EEG Signals and Facial Expressions,"Shuai Wang, Jingzi Qu, Yong Zhang, Yidie Zhang",IEEE Access,123,https://doi.org/10.1109/access.2023.3263670,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10089483.pdf,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10089483.pdf
OA_KW2_010,2023,"Multimodal Emotion Recognition Based on Facial Expressions, Speech, and EEG","Jiahui Pan, Weijie Fang, Zhihang Zhang, Bingzhi Chen, Zheng Zhang",IEEE Open Journal of Engineering in Medicine and Biology,119,https://doi.org/10.1109/ojemb.2023.3240280,https://doi.org/10.1109/ojemb.2023.3240280,
