paper_code,title,authors,year,journal,doi,file_name,md5_hash
OA_KW6_043,Contrastive Self-Supervised Learning for Skeleton Representations,"Nico Lingg, Miguel Sarabia, Luca Zappella et al.",2022,arXiv Preprint,10.48550/arXiv.2211.05304v1,OA_KW6_043.pdf,ae176072444d97d90acb7bda3ec3f092
OA_KW6_044,Standing on the Shoulders of Giants: Rethinking EEG Foundation Model Pretraining via Multi-Teacher Distillation,"Chenqi Li, Yu Liu, Shuo Zhang et al.",2026,arXiv Preprint,10.48550/arXiv.2603.04478v1,OA_KW6_044.pdf,3d7597910422e6c972226b642b496e41
OA_KW6_045,Similarity Contrastive Estimation for Image and Video Soft Contrastive Self-Supervised Learning,"Julien Denize, Jaonary Rabarisoa, Astrid Orcesi et al.",2022,arXiv Preprint,10.48550/arXiv.2212.11187v1,OA_KW6_045.pdf,7c1f1ed0039c87f86a22df559b4d4283
OA_KW6_046,A Supervised Information Enhanced Multi-Granularity Contrastive Learning Framework for EEG Based Emotion Recognition,"Xiang Li, Jian Song, Zhigang Zhao et al.",2024,arXiv Preprint,10.48550/arXiv.2405.07260v1,OA_KW6_046.pdf,49c553f2a33e11d93a06f06bd2b41047
OA_KW6_047,Image Segmentation in Foundation Model Era: A Survey,"Tianfei Zhou, Wang Xia, Fei Zhang et al.",2024,arXiv Preprint,10.48550/arXiv.2408.12957v3,OA_KW6_047.pdf,3a6fa87b1666e308fc356c44840b084c
OA_KW6_048,ME-VLM: A Unified VLM for Embodied Cognition and Agent Coordination,"Foundation Model, Li Auto Inc",2026,arXiv Preprint,10.48550/arXiv.2609.24526v2,OA_KW6_048.pdf,1a7885973f05b2f3bf822ed95db8400f
OA_KW6_049,Enhancing Representation Learning of EEG Data with Masked Autoencoders,"Yifei Zhou, Sitong Liu",2024,arXiv Preprint,10.48550/arXiv.2408.05375v2,OA_KW6_049.pdf,6b2cc91de08925ed2a88588bb9a8c88c
OA_KW6_050,A Survey on Masked Autoencoder for Self-supervised Learning in Vision and Beyond,"Chaoning Zhang, Chenshuang Zhang, Junha Song et al.",2022,arXiv Preprint,10.48550/arXiv.2208.00173v1,OA_KW6_050.pdf,9b2279d042e185acdddce8a1646a6826
OA_KW6_051,Matched-Input Estimates Differ in Sign Across Architectures: Auditing EEG Foundation Models on Motor Imagery,Kevin Zhou; Sparsh Roy,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2609.23924v1,OA_KW6_051.pdf,b734d95e3fa13aa53f4557e1a1cf4bf7
OA_KW6_052,A Deep Neural Network for Predicting Continuous Human EEG Across the Auditory Pathway in Response to Sound,Thomas J Stoll; Ross K Maddox,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2609.20595v2,OA_KW6_052.pdf,0fa38b6e51c0204159a5e62b673dcff4
OA_KW6_053,Dataset-Dependent Effects of Cross-Depth Aggregation and Soft-Routed Experts in EEG Foundation Model Fine-Tuning,Mingyang Jiang; Yamin Li; Daniel Moyer; Fan Ma,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2609.17886v1,OA_KW6_053.pdf,29709134b8d1440f4853c3220bf749cb
OA_KW6_054,EEG-Xplain: Decoding Neural Black-Boxes of EEG Foundation Models,Hansong Ma; Junxiao Wang,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2609.15687v1,OA_KW6_054.pdf,0c1d06c972372d97564042d571e468a2
OA_KW6_055,MANAS-2: Constrained Reconstruction for EEG Foundation Models,Arvasu Kulkarni; Aditya Ray Mishra; Jeet Bandhu Lahiri; Mahir Jain,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2609.13717v2,OA_KW6_055.pdf,e424d88c6dc3f5c2ea36a8cf6284f611
OA_KW6_056,iBrain: A Unified Foundation Model Reading the Brain from Surface to Spikes,Ying Chen; Tiou Wang; Zhifeng Yue,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2609.06960v1,OA_KW6_056.pdf,5be248236d2e33ec72cda7a842f17071
OA_KW6_057,Learning transferable human physiology from two million hours of sleep with SleepFM-2,Rahul Thapa; Christopher Sun; William Theodor Lehn-Schioler; Sophia Claire Kivelson,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2609.06849v1,OA_KW6_057.pdf,5d4239e13db2511597288a2e5df5e715
OA_KW6_058,A Roadmap for MEG Foundation Models,Philipp Thölke; Hamza Abdelhedi; Yorguin Mantilla-Ramos; Fouad Lbakali,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2609.04461v2,OA_KW6_058.pdf,368c6c3ed710add3d5057ff4a92f6d83
OA_KW6_059,Lightweight Adaptation of EEG Foundation Models for Stroke Motor Imagery Decoding: Domain Shift and Subject-Level Robustness,Anh T. Nguyen; Zihua Sun; Michelle J. Johnson,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2609.00282v1,OA_KW6_059.pdf,3016de3e12c0947a59e73ba5dce16d3e
