ID,Year,Title,Authors,Venue,Citations,DOI,OA_URL,PDF_URL
OA_KW5_017,2023,"Emotion recognition and artificial intelligence: A systematic review (2014–2023) and research recommendations","Smith K. Khare, Victoria Blanes‐Vidal, Esmaeil S. Nadimi, U. Rajendra Acharya","Information Fusion",462,https://doi.org/10.1016/j.inffus.2023.102019,https://doi.org/10.1016/j.inffus.2023.102019,
OA_KW5_018,2023,"Generalizable machine learning for stress monitoring from wearable devices: A systematic literature review","Gideon Vos, Kelly Trinh, Zóltan Sarnyai, Mostafa Rahimi Azghadi","International Journal of Medical Informatics",160,https://doi.org/10.1016/j.ijmedinf.2023.105026,https://ars.els-cdn.com/content/image/1-s2.0-S1386505623000436-gr001_lrg.jpg,https://ars.els-cdn.com/content/image/1-s2.0-S1386505623000436-gr001_lrg.jpg
OA_KW5_019,2024,"Role of machine learning and deep learning techniques in EEG-based BCI emotion recognition system: a review","Priyadarsini Samal, Mohammad Farukh Hashmi","Artificial Intelligence Review",147,https://doi.org/10.1007/s10462-023-10690-2,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf
OA_KW5_020,2025,"From Neural Networks to Emotional Networks: A Systematic Review of EEG-Based Emotion Recognition in Cognitive Neuroscience and Real-World Applications","Evgenia Gkintoni, Anthimos Aroutzidis, Hera Antonopoulou, Constantinos Halkiopoulos","Brain Sciences",144,https://doi.org/10.3390/brainsci15030220,https://www.mdpi.com/2076-3425/15/3/220/pdf?version=1740057185,https://www.mdpi.com/2076-3425/15/3/220/pdf?version=1740057185
OA_KW5_021,2023,"Deep Learning in EEG-Based BCIs: A Comprehensive Review of Transformer Models, Advantages, Challenges, and Applications","Berdakh Abibullaev, Aigerim Keutayeva, Amin Zollanvari","IEEE Access",136,https://doi.org/10.1109/access.2023.3329678,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10305163.pdf,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10305163.pdf
OA_KW5_022,2023,"Deep learning-based EEG emotion recognition: Current trends and future perspectives","Xiaohu Wang, Yongmei Ren, Ze Luo, Wei He, Jun Hong","Frontiers in Psychology",133,https://doi.org/10.3389/fpsyg.2023.1126994,https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1126994/pdf,https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1126994/pdf
OA_KW5_023,2023,"Emotion Recognition Using Different Sensors, Emotion Models, Methods and Datasets: A Comprehensive Review","Yujian Cai, Xingguang Li, Jinsong Li","Sensors",133,https://doi.org/10.3390/s23052455,https://www.mdpi.com/1424-8220/23/5/2455/pdf?version=1677135783,https://www.mdpi.com/1424-8220/23/5/2455/pdf?version=1677135783
OA_KW5_024,2023,"Affective Computing: Recent Advances, Challenges, and Future Trends","Guanxiong Pei, Haiying Li, Yandi Lu, Yanlei Wang, Shizhen Hua","Intelligent Computing",132,https://doi.org/10.34133/icomputing.0076,https://spj.science.org/doi/pdf/10.34133/icomputing.0076?download=true,https://spj.science.org/doi/pdf/10.34133/icomputing.0076?download=true
OA_KW5_025,2023,"Electrocardiogram Monitoring Wearable Devices and Artificial-Intelligence-Enabled Diagnostic Capabilities: A Review","Luca Neri, Matt T. Oberdier, Kirsten C. J. van Abeelen, Luca Menghini, Ethan Tumarkin","Sensors",132,https://doi.org/10.3390/s23104805,https://doi.org/10.3390/s23104805,
OA_KW5_026,2023,"Approaches, Applications, and Challenges in Physiological Emotion Recognition—A Tutorial Overview","Yekta Said Can, Bhargavi Mahesh, Elisabeth André","Proceedings of the IEEE",73,https://doi.org/10.1109/jproc.2023.3286445,https://ieeexplore.ieee.org/ielx7/5/4357935/10171229.pdf,https://ieeexplore.ieee.org/ielx7/5/4357935/10171229.pdf
OA_KW5_027,2025,"Conversational health agents: a personalized large language model-powered agent framework","Mahyar Abbasian, Iman Azimi, Amir M. Rahmani, Ramesh Jain","JAMIA Open",41,https://doi.org/10.1093/jamiaopen/ooaf067,https://academic.oup.com/jamiaopen/article-pdf/8/4/ooaf067/63674695/ooaf067.pdf,https://academic.oup.com/jamiaopen/article-pdf/8/4/ooaf067/63674695/ooaf067.pdf
OA_KW5_028,2024,"Early detection of cardiorespiratory complications and training monitoring using wearable ECG sensors and CNN","HongYuan Lu, XinMiao Feng, Jing Zhang","BMC Medical Informatics and Decision Making",24,https://doi.org/10.1186/s12911-024-02599-9,https://bmcmedinformdecismak.biomedcentral.com/counter/pdf/10.1186/s12911-024-02599-9,https://bmcmedinformdecismak.biomedcentral.com/counter/pdf/10.1186/s12911-024-02599-9
OA_KW5_029,2019,"Emotion Recognition from Physiological Signal Analysis: A Review","Maria Egger, Matthias Ley, Sten Hanke","Electronic Notes in Theoretical Computer Science",561,https://doi.org/10.1016/j.entcs.2019.04.009,https://www.sciencedirect.com/science/article/pii/S157106611930009X/pdf,https://www.sciencedirect.com/science/article/pii/S157106611930009X/pdf
OA_KW5_030,2020,"Development of a Real-Time Emotion Recognition System Using Facial Expressions and EEG based on machine learning and deep neural network methods","Aya Hassouneh, A. M. Mutawa, M. Murugappan","Informatics in Medicine Unlocked",276,https://doi.org/10.1016/j.imu.2020.100372,https://www.sciencedirect.com/science/article/pii/S235291482030201X/pdf,https://www.sciencedirect.com/science/article/pii/S235291482030201X/pdf
OA_KW5_031,2019,"Wearable-Based Affect Recognition—A Review","Philip Schmidt, Attila Reiss, Robert Dürichen, Kristof Van Laerhoven","Sensors",223,https://doi.org/10.3390/s19194079,https://www.mdpi.com/1424-8220/19/19/4079/pdf?version=1569235524,https://www.mdpi.com/1424-8220/19/19/4079/pdf?version=1569235524
OA_KW5_032,2022,"Emotion Recognition for Everyday Life Using Physiological Signals From Wearables: A Systematic Literature Review","Stanisław Saganowski, Bartosz Perz, Adam G. Polak, Przemysław Kazienko","IEEE Transactions on Affective Computing",206,https://doi.org/10.1109/taffc.2022.3176135,https://ieeexplore.ieee.org/ielx7/5165369/5520654/09779458.pdf,https://ieeexplore.ieee.org/ielx7/5165369/5520654/09779458.pdf
OA_KW5_033,2021,"Trends in Heart-Rate Variability Signal Analysis","Syem Ishaque, Naimul Khan, Sridhar Krishnan","Frontiers in Digital Health",160,https://doi.org/10.3389/fdgth.2021.639444,https://www.frontiersin.org/articles/10.3389/fdgth.2021.639444/pdf,https://www.frontiersin.org/articles/10.3389/fdgth.2021.639444/pdf
OA_KW5_034,2020,"Advances in Multimodal Emotion Recognition Based on Brain–Computer Interfaces","Zhipeng He, Zina Li, Fuzhou Yang, Lei Wang, Jingcong Li","Brain Sciences",153,https://doi.org/10.3390/brainsci10100687,https://www.mdpi.com/2076-3425/10/10/687/pdf,https://www.mdpi.com/2076-3425/10/10/687/pdf
OA_KW5_035,2019,"Electronic Skin: Recent Progress and Future Prospects for Skin‐Attachable Devices for Health Monitoring, Robotics, and Prosthetics","Jun Chang Yang, Jaewan Mun, Se Young Kwon, Seongjun Park, Zhenan Bao","Advanced Materials",1660,https://doi.org/10.1002/adma.201904765,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201904765,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201904765
